Month,Borough,Equipment Type,Equipment Code,Total Outages,Scheduled Outages,Unscheduled Outages,Entrapments,Time Since Major Improvement,AM Peak Availability,AM Peak Hours Available,AM Peak Total Hours,PM Peak Availability,PM Peak Hours Available,PM Peak Total Hours,24-Hour Availability,24-Hour Hours Available,24-Hour Total Hours,Station Name,Station MRN,Station Complex Name,Station Complex MRN
2/1/21,Queens,Elevator,EL433,1,1,0,0,188,1,112,112,1,112,112,0.991889881,666.55,672,JAMAICA-179ST-QBL-F,254,Jamaica-179 St - Station,254
2/1/21,Manhattan,Elevator,EL139,13,5,8,6,168,0.870238095,97.46666667,112,0.869494048,97.38333333,112,0.853422619,573.5,672,168ST-8AV-A/C,148,"168 St (A,C,1)",605
2/1/21,Brooklyn,Elevator,EL306,3,2,1,0,202,1,112,112,0.990029762,110.8833333,112,0.98328373,660.7666667,672,ATLANTICAV-BARCLAYSCTR-EPK-2/3/4/5,338,"Atlantic Av (B,Q,2,3,4,5)/Pacific St (D,N,R)",617
2/1/21,Bronx,Elevator,EL502,1,1,0,0,4,1,112,112,1,112,112,0.993303571,667.5,672,BEDFORDPKBLVD-CON-B/D,211,Bedford Pk Blvd - Station,211
2/1/21,Manhattan,Elevator,EL107,0,0,0,0,255,,0,0,,0,0,,0,0,181ST-BWY7-1,301,181 St - Station,301
2/1/21,Brooklyn,Elevator,EL301,7,5,2,0,202,0.984077381,110.2166667,112,0.954017857,106.85,112,0.960491071,645.45,672,ATLANTICAV-BARCLAYSCTR-4AV-D/N/R,27,"Atlantic Av (B,Q,2,3,4,5)/Pacific St (D,N,R)",617
2/1/21,Brooklyn,Elevator,EL708,6,3,3,0,129,0.993303571,111.25,112,1,112,112,0.972321429,653.4,672,JAYST-METROTECH-8AV-A/C/F,174,"Jay St-MetroTech (A,C,F,R)",636
2/1/21,Manhattan,Elevator,EL268X,0,0,0,0,N/A,1,112,112,1,112,112,1,672,672,49ST-BWY-N/R/Q,10,49 St - Station,10
2/1/21,Bronx,Elevator,EL197,1,1,0,0,75,1,112,112,1,112,112,0.992113095,666.7,672,HUNTSPOINTAV-PEL-6,371,Hunts Point Av - Station,371
2/1/21,Queens,Elevator,EL464,4,2,2,0,7,0.985119048,110.3333333,112,1,112,112,0.983358135,660.8166667,672,ASTORIABLVD-AST-N/Q,2,Astoria Blvd - Station,2
